,id,longitud,latitud,cluster
1704,5130,-3632505520904,40430403845438,163
1705,5131,-3732985653511,40432476613272,240
1706,5132,-3692376276229,40455265095794,215
1707,5133,-3692404482528,40441279968584,49
1708,5134,-3692427636758,40462125834934,33
1709,5135,-3692445421438,40383875979906,174
1710,5136,-3692467425056,40374281485696,199
1711,5137,-3692481390894,40452150684886,131
1712,5138,-3692482602348,40454199533931,215
1713,5139,-3692515601074,40383777615168,174
1714,5140,-3692525471212,40426003946615,34
1715,5141,-3692537275571,40391973814227,236
1716,5142,-3654106873646,40424180738961,27
1717,5143,-3654230044895,40392234157020,155
1718,5144,-3692575759921,40366823698503,292
1719,5145,-3692604617883,40375412896219,199
1720,5146,-3692658443759,40390912449588,236
1721,5147,-3692667509646,40366777349134,292
1722,5148,-3692670686758,40419510435483,283
1723,5149,-3713733975150,40405058055072,212
1724,5150,-3714336543291,40429744828368,208
1725,5151,-3713877755297,40410035607591,212
1726,5152,-3713882849163,40364720069583,280
1727,5153,-3713934781774,40402022837236,243
1728,5154,-3713952808511,40473283886021,151
1729,5155,-3713966165103,40439020177168,238
1730,5156,-3714005093536,40373682619337,94
1731,5157,-3720181682238,40463607342004,46
1732,5158,-3720197823795,40403252050920,18
1733,5159,-3720218603221,40418376591956,191
1734,5160,-3714462417251,40399178848073,243
1735,5161,-3743162240958,40364629756475,36
1736,5162,-3742628778630,40476870980852,21
1737,5163,-3742616271612,40395683747035,112
1738,5164,-3744145091228,40398120989072,112
1739,5165,-3742370511494,40386757338574,8
1740,5166,-3742224409877,40391564814216,112
1741,5167,-3744134011556,40456341800870,289
1742,5168,-3744089077369,40362608707582,36
1743,5169,-3714371728253,40422992880914,13
1744,5170,-3714429819122,40398974276974,243
1745,5171,-3714436183710,40428146594511,208
1746,5172,-3744404214510,40386182008252,221
1747,5173,-3714347898106,40483516568149,6
1748,5174,-3742415827137,40367698692958,285
1749,5175,-3742684799959,40387586971624,8
1750,5176,-3742764211344,40368777530098,285
1751,5177,-3744177198469,40387469079872,221
1752,5178,-3714179158058,40364459674157,280
1753,5179,-3742234008475,40373655116916,71
1754,5180,-3714202926201,40384964575750,166
1755,5181,-3743114836186,40372982456631,71
1756,5182,-3714959327925,40428876805544,208
1757,5183,-3731485847475,40434890826336,57
1758,5184,-3731338310054,40435742428487,57
1759,5185,-3714517495972,40470488813297,151
1760,5186,-3714518104044,40333622998746,256
1761,5187,-3714961767753,40472433584629,151
1762,5188,-3714538339006,40430510785626,208
1763,5189,-3714551015598,40398922335691,243
1764,5190,-3714992848183,40428805591973,208
1765,5191,-3714595218359,40470452151200,151
1766,5192,-3714729271770,40415100386467,281
1767,5193,-3714729914898,40454170276148,136
1768,5194,-3714816758298,40444924061513,23
1769,5195,-3714836942991,40427186442470,208
1770,5196,-3714843665257,40420735728530,13
1771,5197,-3714847252918,40458369635737,83
1772,5198,-3714856542818,40428605291191,208
1773,5199,-3715051175969,40469608975076,151
1774,5200,-3715445649518,40477110938437,175
1775,5201,-3715101493171,40385205244975,166
1776,5202,-3715700837971,40420054486374,13
1777,5203,-3649254448998,40463722381755,170
1778,5204,-3662743672646,40461122236065,225
1779,5205,-3715751058986,40469976355285,151
1780,5206,-3715140449790,40396276656184,243
1781,5207,-3715150402386,40402041838507,243
1782,5208,-3715155190310,40405076394841,250
1783,5209,-3715763605910,40413924952072,281
1784,5210,-3715836026571,40479113398959,6
1785,5211,-3715879280116,40342144491239,258
1786,5212,-3715189031865,40429203606615,208
1787,5213,-3715243632995,40481281772717,6
1788,5214,-3715272602024,40454222072340,136
1789,5215,-3715315778333,40337287668383,70
1790,5216,-3715555004149,40458540232947,83
1791,5217,-3662853568825,40436467178783,179
1792,5218,-3662874898780,40410034605805,237
1793,5219,-3662834151497,40411228398287,237
1794,5220,-3648724305800,40437013950521,50
1795,5221,-3715599292500,40373499407367,94
1796,5222,-3715548429180,40430528198607,208
1797,5223,-3715570676874,40368799242153,280
1798,5224,-3715555712772,40484098957419,6
1799,5225,-3715612092250,40368985930060,280
1800,5226,-3715606921203,40471394596852,151
1801,5227,-3715559356584,40403360151284,250
1802,5228,-3715400008191,40483720999338,6
1803,5229,-3715486589678,40334577100140,256
1804,5230,-3715411966796,40332808863348,256
1805,5231,-3715925858275,40431890370722,208
1806,5232,-3715963026326,40476094889175,151
1807,5233,-3715971181088,40458448173466,83
1808,5234,-3716005613211,40421222667857,13
1809,5235,-3715421779792,40392932965222,243
1810,5236,-3716300972702,40386853844209,166
1811,5237,-3716303454172,40400475711580,243
1812,5238,-3716311141884,40407247450853,250
1813,5239,-3716322416643,40400236187309,243
1814,5240,-3716326509145,40400357195439,243
1815,5241,-3716336864309,40385475899343,166
1816,5242,-3716359877674,40439236427575,238
1817,5243,-3716373178665,40477975355713,6
1818,5244,-3716394174375,40473132869450,151
1819,5245,-3681926082935,40404715864581,183
1820,5246,-3681933694542,40437640890017,138
1821,5247,-3681976411701,40450837926796,116
1822,5248,-3716420695683,40405472763001,250
1823,5249,-3716445646388,40446360167476,23
1824,5250,-3716464278053,40389131694611,166
1825,5251,-3716507003431,40345603487070,258
1826,5252,-3716550453364,40386348275068,166
1827,5253,-3716634855745,40458927247222,83
1828,5254,-3716648385570,40431096703780,208
1829,5255,-3682214646449,40434909285905,19
1830,5256,-3716680668835,40436563388433,80
1831,5257,-3716686915254,40387725835523,166
1832,5258,-3716698014516,40439792085118,238
1833,5259,-3716714168161,40398850095312,243
1834,5260,-3716742687396,40385244926131,166
1835,5261,-3716746293695,40387693478818,166
1836,5262,-3716795733423,40414632470987,147
1837,5263,-3716810712217,40430509653110,208
1838,5264,-3716887894653,40398794112079,243
1839,5265,-3716957564568,40434441521121,80
1840,5266,-3716960218362,40428058242315,208
1841,5267,-3716974861716,40343259855433,258
1842,5268,-3717610667966,40408255806586,250
1843,5269,-3717014457308,40481374117635,6
1844,5270,-3717020067981,40448069988691,23
1845,5271,-3717068624514,40407532663271,250
1846,5272,-3717632085202,40342936522443,258
1847,5273,-3717238615557,40430271806335,208
1848,5274,-3717279226515,40482080125733,6
1849,5275,-3717650569646,40426495464400,208
1850,5277,-3717708021826,40426386744897,208
1851,5279,-3717768543243,40420329099323,191
1852,5280,-3717771703104,40399246811149,243
1853,5281,-3717796130257,40384662039115,166
1854,5282,-3717808479680,40342308038942,258
1855,5283,-3717813935353,40429321471845,208
